word,frequency
time,1046
burnout,1008
people,988
nan,980
dont,935
feel,798
stress,724
video,615
much,572
day,563
know,545
need,543
even,540
years,520
working,493
think,489
want,473
ive,468
hours,461
good,453
take,415
things,408
thank,405
make,400
help,384
also,383
would,376
way,371
well,368
health,364
thanks,343
something,339
love,338
depression,337
going,329
mental,318
week,318
never,311
always,310
still,309
sleep,300
every,297
hard,292
better,291
back,291
many,283
lot,278
world,273
days,270
great,270
cant,269
got,265
burn,263
right,260
burnt,254
everything,253
see,242
find,239
money,238
live,234
home,226
could,224
say,218
care,216
burned,212
feeling,211
year,211
saya,210
anxiety,206
point,203
keep,201
getting,199
problem,199
school,193
actually,192
person,190
family,190
social,190
phone,189
nothing,186
made,185
first,183
jobs,179
change,177
bad,175
long,175
brain,175
thing,174
may,174
someone,173
trying,173
two,172
anything,171
try,171
stop,171
videos,171
last,170
depressed,168
didnt,168
new,168
