video_id,author,body,likeCount,publishedAt
P-CS6RVU7ic,@SatuPersenIndonesianLifeschool,"Lo pernah ngerasa kesulitan mengatur waktu dan gak produktif juga, gak? Apa yang lo lakuin?

Kalau mau ingin tau diri sendiri lebih dalam secara mandiri, lo bisa coba berbagai pilihan psikotes premium ini.
• Psikotes Premium https://satu.bio/psikotes-premium

Atau lo juga bisa gabung dengan membership eksklusif dan ekosistem belajar semua aspek penting yang tidak diajarkan di sekolah dari Satu Persen di sini:
• https://satu.bio/sp-member-yt
Plus, dapatkan keuntungan senilai Rp10.000.000 dari berbagai produk Satu Persen.

Buat lo yang butuh teman bicara untuk cerita semua masalah lo, bisa cek link di bawah ini ya.
• Life Coaching (sebelumnya Mentoring) https://satu.bio/curhat-yuk
• Konseling https://satu.bio/konseling-yuk

Kita juga rutin ngadain kelas setiap minggunya dengan topik-topik yang relate dengan berbagai problem lo.
• Webinar (Online) https://satu.bio/webinar
• Seminar (Offline) https://satu.bio/seminar

Gabung Komunitas Satu Persen untuk diskusi yang insightful, koneksi baru, dan benefit khusus lainnya!
•  https://satu.bio/join-komunitas-satupersen",122,2022-09-19T01:33:20Z
P-CS6RVU7ic,@restuag5720,nahh,0,2025-08-17T18:34:36Z
P-CS6RVU7ic,@sahabatkhazanah,manfaatnya mantab🎉. Konten 5 tahun lalu. Kenapa baru lihat sekarang😢😢😢. Algoritma kah,0,2025-07-23T00:35:26Z
P-CS6RVU7ic,@DAPUR_UMMAANA,Yg ngisi suara agus Leo bukan sih,0,2025-07-22T23:42:41Z
P-CS6RVU7ic,@bagaschannel9361,Guys minta tolong dong buatin tim management buat gw sebagai helper di kerjaan. Rangkumannya aj plis gw ga bs bgt😭,0,2025-07-10T02:56:41Z
P-CS6RVU7ic,@dedenmaulana.s8250,Makasih ka,0,2025-07-03T12:23:37Z
P-CS6RVU7ic,@habibah2025-m3d,Anyone 2025🙋,0,2025-06-28T02:27:20Z
P-CS6RVU7ic,@resaisafira4583,"Aku umur 16, otw 17, tapi masih ngerasa belum ada perubahan besar dalam hidup. Setelah nonton video ini, aku jadi sadar kalau selama ini waktu aku banyak terbuang buat hal-hal yang kurang penting dan nggak produktif. Masih sering males, nggak konsisten, dan suka nunda-nunda. Tiap hari pengen bisa produktif kayak orang-orang, tapi selalu aja ada halangannya entah itu rasa malas, distraksi, atau kurang motivasi. But it's okay, because it's never too late to change for the better. I’ll try to break my bad habits and start using my time for more meaningful things in the future no matter how difficult it is.

Terima kasih banyak Satu Persen, video ini bener-bener bikin aku tersadar dan termotivasi 🙏",0,2025-06-23T11:16:02Z
P-CS6RVU7ic,@sallwae,"1. Time Log ( mencatat min 3 hari dulu, buat per hari/ minggu/ bulan )
- agar tahu estimasi kerjaan tsb
- agar tau sampai mana time managementnya

2. Plan the whole week ( jadwalin apa yg harus di lakukan selama seminggu )
- menghabiskan kemampuan mereka 
- jadwalkan apa yg kamu seneng (ex. main)

3. Morning Ritual ( hal” spesifik untuk kamu )
- olahraga 
- meditasi, dll

4. Have some fun ( waktu senggang kamu )
- antisipasi 
- bikin lebih motivated 
- butuh 3-5 event yg menyenangkan ( list hal” yg buat kamu senang ) 
- jgn tidak lakuin apa”
- jadwalin di waktu minggu malam",0,2025-06-18T08:01:56Z
P-CS6RVU7ic,@ServerVietnam-b5c,tutornya keren parah si,0,2025-06-08T09:56:17Z
